Crewed or Uncrewed,Launched?,High Temp,Low Temp,Ave Temp,Hist High Temp,Hist Low Temp,Hist Ave Temp,Percipitation at Launch Time,Hist Ave Percipitation,Wind Direction,Max Wind Speed,Visibility,Condition,target
Uncrewed,N,93.0,77.0,85.29,91.0,73.0,82.0,0.0,0.24,E,12.0,10.0,Fair,0
Uncrewed,N,95.0,77.0,84.19,91.0,73.0,82.0,0.02,0.25,W,15.0,10.0,Cloudy,0
Uncrewed,N,79.0,56.0,68.67,71.0,49.0,60.0,0.0,0.07,S,18.0,10.0,Cloudy,0
Uncrewed,N,71.0,49.0,58.67,71.0,49.0,60.0,0.16,0.07,W,22.0,10.0,Cloudy,0
Uncrewed,Y,69.0,42.0,59.25,71.0,49.0,60.0,0.0,0.07,NE,15.0,10.0,Partly Cloudy,1
Uncrewed,N,74.0,64.0,68.61,71.0,49.0,60.0,0.05,0.07,E,15.0,10.0,Rain,0
Uncrewed,N,77.0,67.0,71.61,72.0,49.0,60.0,0.0,0.07,E,14.0,10.0,Fair,0
Uncrewed,N,51.0,0.0,33.04,71.0,49.0,60.0,0.0,0.07,NW,21.0,10.0,Fair,0
Uncrewed,N,55.0,0.0,29.04,71.0,49.0,60.0,0.0,0.07,NW,14.0,10.0,Fair,0
Uncrewed,Y,59.0,0.0,36.78,71.0,49.0,60.0,0.0,0.08,NW,17.0,10.0,Fair,1
Uncrewed,N,61.0,0.0,38.96,71.0,49.0,60.0,0.0,0.07,N,8.0,10.0,Fair,0
Uncrewed,N,67.0,43.0,55.39,71.0,49.0,60.0,0.0,0.08,NE,12.0,10.0,Cloudy,0
Uncrewed,N,81.0,72.0,75.55,83.0,66.0,75.0,0.0,0.16,N,23.0,10.0,Cloudy,0
Uncrewed,N,77.0,72.0,73.61,83.0,66.0,74.0,0.0,0.15,NE,24.0,10.0,Cloudy,0
Uncrewed,Y,82.0,73.0,76.38,83.0,66.0,74.0,0.0,0.13,E,21.0,20.0,Cloudy,1
Uncrewed,N,82.0,73.0,76.96,82.0,65.0,74.0,0.0,0.14,NE,17.0,10.0,Cloudy,0
Uncrewed,N,82.0,72.0,76.95,82.0,65.0,74.0,0.0,0.12,E,20.0,10.0,Partly Cloudy,0
Uncrewed,N,75.0,61.0,68.46,73.0,51.0,62.0,0.0,0.08,NE,17.0,10.0,Fair,0
Uncrewed,N,75.0,57.0,66.45,73.0,51.0,62.0,0.0,0.09,E,12.0,10.0,Fair,0
